2023-06-16 21:59:24.958 [gateway-service,,] [background-preinit] DEBUG org.jboss.logging - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
2023-06-16 22:03:19.059 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'executorBeanPostProcessor' via factory method to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@26f143ed'
2023-06-16 22:03:19.059 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'traceHandlerFunctionAdapterBeanPostProcessor'
2023-06-16 22:03:19.060 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'traceHandlerFunctionAdapterBeanPostProcessor' via factory method to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@26f143ed'
2023-06-16 22:03:19.062 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'nettyReactiveWebServerFactory'
2023-06-16 22:03:19.063 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.reactive.ReactiveWebServerFactoryConfiguration$EmbeddedNetty'
2023-06-16 22:03:19.065 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'reactorResourceFactory'
2023-06-16 22:03:19.065 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.reactor.netty.ReactorNettyConfigurations$ReactorResourceFactoryConfiguration'
2023-06-16 22:03:19.066 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'spring.reactor.netty-org.springframework.boot.autoconfigure.reactor.netty.ReactorNettyProperties'
2023-06-16 22:03:19.068 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.BoundConfigurationProperties'
2023-06-16 22:03:19.071 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'defaultsBindHandlerAdvisor'
2023-06-16 22:03:19.071 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration'
2023-06-16 22:03:19.073 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'loadBalancerClientsDefaultsMappingsProvider'
2023-06-16 22:03:19.073 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration'
2023-06-16 22:03:19.076 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'defaultsBindHandlerAdvisor' via factory method to bean named 'loadBalancerClientsDefaultsMappingsProvider'
2023-06-16 22:03:19.081 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'reactorResourceFactory' via factory method to bean named 'spring.reactor.netty-org.springframework.boot.autoconfigure.reactor.netty.ReactorNettyProperties'
2023-06-16 22:03:19.098 [gateway-service,,] [main] DEBUG i.n.util.internal.logging.InternalLoggerFactory - Using SLF4J as the default logging framework
2023-06-16 22:03:19.099 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent0 - -Dio.netty.noUnsafe: false
2023-06-16 22:03:19.099 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent0 - Java version: 16
2023-06-16 22:03:19.100 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent0 - sun.misc.Unsafe.theUnsafe: available
2023-06-16 22:03:19.100 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent0 - sun.misc.Unsafe.copyMemory: available
2023-06-16 22:03:19.100 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent0 - sun.misc.Unsafe.storeFence: available
2023-06-16 22:03:19.101 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent0 - java.nio.Buffer.address: available
2023-06-16 22:03:19.101 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent0 - direct buffer constructor: unavailable: Reflective setAccessible(true) disabled
2023-06-16 22:03:19.101 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent0 - java.nio.Bits.unaligned: available, true
2023-06-16 22:03:19.102 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent0 - jdk.internal.misc.Unsafe.allocateUninitializedArray(int): unavailable: class io.netty.util.internal.PlatformDependent0$7 cannot access class jdk.internal.misc.Unsafe (in module java.base) because module java.base does not export jdk.internal.misc to unnamed module @c86b9e3
2023-06-16 22:03:19.103 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent0 - java.nio.DirectByteBuffer.<init>(long, int): unavailable
2023-06-16 22:03:19.103 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent - sun.misc.Unsafe: available
2023-06-16 22:03:19.103 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent - maxDirectMemory: 4253024256 bytes (maybe)
2023-06-16 22:03:19.104 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.tmpdir: c:\users\lkj\AppData\Local\Temp (java.io.tmpdir)
2023-06-16 22:03:19.104 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.bitMode: 64 (sun.arch.data.model)
2023-06-16 22:03:19.104 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent - Platform: Windows
2023-06-16 22:03:19.104 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.maxDirectMemory: -1 bytes
2023-06-16 22:03:19.104 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.uninitializedArrayAllocationThreshold: -1
2023-06-16 22:03:19.105 [gateway-service,,] [main] DEBUG io.netty.util.internal.CleanerJava9 - java.nio.ByteBuffer.cleaner(): available
2023-06-16 22:03:19.105 [gateway-service,,] [main] DEBUG io.netty.util.internal.PlatformDependent - -Dio.netty.noPreferDirect: false
2023-06-16 22:03:19.129 [gateway-service,,] [main] DEBUG reactor.netty.tcp.TcpResources - [http] resources will use the default LoopResources: DefaultLoopResources {prefix=reactor-http, daemon=true, selectCount=12, workerCount=12}
2023-06-16 22:03:19.129 [gateway-service,,] [main] DEBUG reactor.netty.tcp.TcpResources - [http] resources will use the default ConnectionProvider: reactor.netty.resources.DefaultPooledConnectionProvider@5ad1904f
2023-06-16 22:03:19.130 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'nettyReactiveWebServerFactory' via factory method to bean named 'reactorResourceFactory'
2023-06-16 22:03:19.134 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'reactiveWebServerFactoryCustomizer'
2023-06-16 22:03:19.134 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.reactive.ReactiveWebServerFactoryAutoConfiguration'
2023-06-16 22:03:19.135 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2023-06-16 22:03:19.142 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'reactiveWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2023-06-16 22:03:19.143 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'nettyWebServerFactoryCustomizer'
2023-06-16 22:03:19.143 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.embedded.EmbeddedWebServerFactoryCustomizerAutoConfiguration$NettyWebServerFactoryCustomizerConfiguration'
2023-06-16 22:03:19.146 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'nettyWebServerFactoryCustomizer' via factory method to bean named 'environment'
2023-06-16 22:03:19.146 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'nettyWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2023-06-16 22:03:19.168 [gateway-service,,] [main] DEBUG io.netty.util.internal.InternalThreadLocalMap - -Dio.netty.threadLocalMap.stringBuilder.initialSize: 1024
2023-06-16 22:03:19.168 [gateway-service,,] [main] DEBUG io.netty.util.internal.InternalThreadLocalMap - -Dio.netty.threadLocalMap.stringBuilder.maxSize: 4096
2023-06-16 22:03:19.183 [gateway-service,,] [main] DEBUG io.netty.util.ResourceLeakDetector - -Dio.netty.leakDetection.level: simple
2023-06-16 22:03:19.183 [gateway-service,,] [main] DEBUG io.netty.util.ResourceLeakDetector - -Dio.netty.leakDetection.targetRecords: 4
2023-06-16 22:03:19.216 [gateway-service,,] [main] DEBUG io.netty.util.concurrent.GlobalEventExecutor - -Dio.netty.globalEventExecutor.quietPeriodSeconds: 1
2023-06-16 22:03:19.221 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'gatewayServiceApplication'
2023-06-16 22:03:19.222 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2023-06-16 22:03:19.222 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.cloud.client.serviceregistry.AutoServiceRegistrationConfiguration'
2023-06-16 22:03:19.223 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'spring.cloud.service-registry.auto-registration-org.springframework.cloud.client.serviceregistry.AutoServiceRegistrationProperties'
2023-06-16 22:03:19.225 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration'
2023-06-16 22:03:19.225 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration'
2023-06-16 22:03:19.225 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'standardJacksonObjectMapperBuilderCustomizer'
2023-06-16 22:03:19.226 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'spring.jackson-org.springframework.boot.autoconfigure.jackson.JacksonProperties'
2023-06-16 22:03:19.229 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'standardJacksonObjectMapperBuilderCustomizer' via factory method to bean named 'org.springframework.boot.web.reactive.context.AnnotationConfigReactiveWebServerApplicationContext@591e58fa'
2023-06-16 22:03:19.229 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'standardJacksonObjectMapperBuilderCustomizer' via factory method to bean named 'spring.jackson-org.springframework.boot.autoconfigure.jackson.JacksonProperties'
2023-06-16 22:03:19.231 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration'
2023-06-16 22:03:19.231 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$ParameterNamesModuleConfiguration'
2023-06-16 22:03:19.232 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'parameterNamesModule'
2023-06-16 22:03:19.235 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration'
2023-06-16 22:03:19.236 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'jacksonObjectMapper'
2023-06-16 22:03:19.237 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'jacksonObjectMapperBuilder' via factory method to bean named 'org.springframework.boot.web.reactive.context.AnnotationConfigReactiveWebServerApplicationContext@591e58fa'
2023-06-16 22:03:19.237 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'jacksonObjectMapperBuilder' via factory method to bean named 'standardJacksonObjectMapperBuilderCustomizer'
2023-06-16 22:03:19.238 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'jsonComponentModule'
2023-06-16 22:03:19.238 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration'
2023-06-16 22:03:19.243 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'jsonMixinModule'
2023-06-16 22:03:19.243 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'jsonMixinModule' via factory method to bean named 'org.springframework.boot.web.reactive.context.AnnotationConfigReactiveWebServerApplicationContext@591e58fa'
2023-06-16 22:03:19.243 [gateway-service,,] [main] DEBUG o.s.boot.autoconfigure.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the package 'com.example.gatewayservice'. Automatic @Repository and @Entity scanning is enabled.
2023-06-16 22:03:19.248 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'jacksonObjectMapper' via factory method to bean named 'jacksonObjectMapperBuilder'
2023-06-16 22:03:19.265 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.codec.CodecsAutoConfiguration$DefaultCodecsConfiguration'
2023-06-16 22:03:19.266 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'defaultCodecCustomizer'
2023-06-16 22:03:19.266 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'spring.codec-org.springframework.boot.autoconfigure.codec.CodecProperties'
2023-06-16 22:03:19.267 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'defaultCodecCustomizer' via factory method to bean named 'spring.codec-org.springframework.boot.autoconfigure.codec.CodecProperties'
2023-06-16 22:03:19.269 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.codec.CodecsAutoConfiguration$JacksonCodecConfiguration'
2023-06-16 22:03:19.269 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'jacksonCodecCustomizer'
2023-06-16 22:03:19.270 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'jacksonCodecCustomizer' via factory method to bean named 'jacksonObjectMapper'
2023-06-16 22:03:19.271 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.codec.CodecsAutoConfiguration'
2023-06-16 22:03:19.271 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.reactive.ReactiveMultipartAutoConfiguration'
2023-06-16 22:03:19.272 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'defaultPartHttpMessageReaderCustomizer'
2023-06-16 22:03:19.272 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'spring.webflux.multipart-org.springframework.boot.autoconfigure.web.reactive.ReactiveMultipartProperties'
2023-06-16 22:03:19.274 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'defaultPartHttpMessageReaderCustomizer' via factory method to bean named 'spring.webflux.multipart-org.springframework.boot.autoconfigure.web.reactive.ReactiveMultipartProperties'
2023-06-16 22:03:19.276 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration'
2023-06-16 22:03:19.276 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'defaultValidator'
2023-06-16 22:03:19.276 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'defaultValidator' via factory method to bean named 'org.springframework.boot.web.reactive.context.AnnotationConfigReactiveWebServerApplicationContext@591e58fa'
2023-06-16 22:03:19.279 [gateway-service,,] [main] DEBUG o.h.v.m.ResourceBundleMessageInterpolator - Loaded expression factory via original TCCL
2023-06-16 22:03:19.281 [gateway-service,,] [main] DEBUG o.h.v.internal.engine.AbstractConfigurationImpl - Setting custom MessageInterpolator of type org.springframework.validation.beanvalidation.LocaleContextMessageInterpolator
2023-06-16 22:03:19.281 [gateway-service,,] [main] DEBUG o.h.v.internal.engine.AbstractConfigurationImpl - Setting custom ConstraintValidatorFactory of type org.springframework.validation.beanvalidation.SpringConstraintValidatorFactory
2023-06-16 22:03:19.282 [gateway-service,,] [main] DEBUG o.h.v.internal.engine.AbstractConfigurationImpl - Setting custom ParameterNameProvider of type org.springframework.validation.beanvalidation.LocalValidatorFactoryBean$1
2023-06-16 22:03:19.282 [gateway-service,,] [main] DEBUG o.h.v.internal.xml.config.ValidationXmlParser - Trying to load META-INF/validation.xml for XML based Validator configuration.
2023-06-16 22:03:19.282 [gateway-service,,] [main] DEBUG o.h.v.internal.xml.config.ResourceLoaderHelper - Trying to load META-INF/validation.xml via user class loader
2023-06-16 22:03:19.283 [gateway-service,,] [main] DEBUG o.h.v.internal.xml.config.ResourceLoaderHelper - Trying to load META-INF/validation.xml via TCCL
2023-06-16 22:03:19.283 [gateway-service,,] [main] DEBUG o.h.v.internal.xml.config.ResourceLoaderHelper - Trying to load META-INF/validation.xml via Hibernate Validator's class loader
2023-06-16 22:03:19.283 [gateway-service,,] [main] DEBUG o.h.v.internal.xml.config.ValidationXmlParser - No META-INF/validation.xml found. Using annotation based configuration only.
2023-06-16 22:03:19.283 [gateway-service,,] [main] DEBUG o.h.v.i.engine.resolver.TraversableResolvers - Cannot find javax.persistence.Persistence on classpath. Assuming non JPA 2 environment. All properties will per default be traversable.
2023-06-16 22:03:19.285 [gateway-service,,] [main] DEBUG o.h.v.i.engine.ValidatorFactoryConfigurationHelper - HV000252: Using org.hibernate.validator.internal.engine.DefaultPropertyNodeNameProvider as property node name provider.
2023-06-16 22:03:19.285 [gateway-service,,] [main] DEBUG o.h.v.i.engine.ValidatorFactoryConfigurationHelper - HV000234: Using org.springframework.validation.beanvalidation.LocaleContextMessageInterpolator as ValidatorFactory-scoped message interpolator.
2023-06-16 22:03:19.285 [gateway-service,,] [main] DEBUG o.h.v.i.engine.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
2023-06-16 22:03:19.285 [gateway-service,,] [main] DEBUG o.h.v.i.engine.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2023-06-16 22:03:19.286 [gateway-service,,] [main] DEBUG o.h.v.i.engine.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2023-06-16 22:03:19.286 [gateway-service,,] [main] DEBUG o.h.v.i.engine.ValidatorFactoryConfigurationHelper - HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2023-06-16 22:03:19.289 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.reactive.WebSessionIdResolverAutoConfiguration'
2023-06-16 22:03:19.290 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'spring.webflux-org.springframework.boot.autoconfigure.web.reactive.WebFluxProperties'
2023-06-16 22:03:19.292 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.reactive.WebSessionIdResolverAutoConfiguration' via constructor to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2023-06-16 22:03:19.292 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.reactive.WebSessionIdResolverAutoConfiguration' via constructor to bean named 'spring.webflux-org.springframework.boot.autoconfigure.web.reactive.WebFluxProperties'
2023-06-16 22:03:19.295 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'webSessionIdResolver'
2023-06-16 22:03:19.298 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.cloud.loadbalancer.config.LoadBalancerAutoConfiguration'
2023-06-16 22:03:19.298 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'zoneConfig'
2023-06-16 22:03:19.299 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'zoneConfig' via factory method to bean named 'environment'
2023-06-16 22:03:19.300 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'loadBalancerClientFactory'
2023-06-16 22:03:19.300 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'spring.cloud.loadbalancer-org.springframework.cloud.client.loadbalancer.LoadBalancerClientsProperties'
2023-06-16 22:03:19.304 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'loadBalancerClientFactory' via factory method to bean named 'spring.cloud.loadbalancer-org.springframework.cloud.client.loadbalancer.LoadBalancerClientsProperties'
2023-06-16 22:03:19.305 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'default.org.springframework.cloud.loadbalancer.config.LoadBalancerAutoConfiguration.LoadBalancerClientSpecification'
2023-06-16 22:03:19.308 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'default.org.springframework.cloud.loadbalancer.config.BlockingLoadBalancerClientAutoConfiguration.LoadBalancerClientSpecification'
2023-06-16 22:03:19.308 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'default.org.springframework.cloud.netflix.eureka.loadbalancer.LoadBalancerEurekaAutoConfiguration.LoadBalancerClientSpecification'
2023-06-16 22:03:19.311 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.cloud.gateway.config.GatewayReactiveLoadBalancerClientAutoConfiguration'
2023-06-16 22:03:19.312 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'gatewayLoadBalancerClientFilter'
2023-06-16 22:03:19.313 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'spring.cloud.gateway.loadbalancer-org.springframework.cloud.gateway.config.GatewayLoadBalancerProperties'
2023-06-16 22:03:19.314 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'gatewayLoadBalancerClientFilter' via factory method to bean named 'loadBalancerClientFactory'
2023-06-16 22:03:19.314 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'gatewayLoadBalancerClientFilter' via factory method to bean named 'spring.cloud.gateway.loadbalancer-org.springframework.cloud.gateway.config.GatewayLoadBalancerProperties'
2023-06-16 22:03:19.316 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'loadBalancerServiceInstanceCookieFilter'
2023-06-16 22:03:19.317 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'loadBalancerServiceInstanceCookieFilter' via factory method to bean named 'loadBalancerClientFactory'
2023-06-16 22:03:19.319 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.cloud.gateway.config.GatewayClassPathWarningAutoConfiguration'
2023-06-16 22:03:19.320 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.cloud.client.discovery.composite.CompositeDiscoveryClientAutoConfiguration'
2023-06-16 22:03:19.320 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'compositeDiscoveryClient'
2023-06-16 22:03:19.321 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'simpleDiscoveryClient'
2023-06-16 22:03:19.322 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.cloud.client.discovery.simple.SimpleDiscoveryClientAutoConfiguration'
2023-06-16 22:03:19.327 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'inetUtils'
2023-06-16 22:03:19.327 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.cloud.commons.util.UtilAutoConfiguration'
2023-06-16 22:03:19.328 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'inetUtilsProperties'
2023-06-16 22:03:19.333 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Autowiring by type from bean name 'inetUtils' via factory method to bean named 'inetUtilsProperties'
2023-06-16 22:03:19.335 [gateway-service,,] [main] DEBUG o.s.b.factory.support.DefaultListableBeanFactory - Creating shared instance of singleton bean 'simpleDiscoveryProperties'
